GEO_ID,NAME,S2704_C03_001E,S2704_C03_006E,S2704_C03_002E,S2704_C03_010E,state,county
0500000US05055,"Greene County, Arkansas",47.3,31.1,19.3,2.9,05,055
0500000US05057,"Hempstead County, Arkansas",52.9,35.6,23.6,2.8,05,057
0500000US05059,"Hot Spring County, Arkansas",48.7,28.7,23.9,3.4,05,059
0500000US05061,"Howard County, Arkansas",49.2,31.2,21.3,2.0,05,061
0500000US05063,"Independence County, Arkansas",48.2,31.2,20.6,2.5,05,063
0500000US05065,"Izard County, Arkansas",56.4,28.1,32.3,5.7,05,065
0500000US05067,"Jackson County, Arkansas",59.0,39.3,24.8,2.2,05,067
0500000US05069,"Jefferson County, Arkansas",53.2,35.7,22.3,2.8,05,069
0500000US05071,"Johnson County, Arkansas",49.5,32.3,21.1,3.8,05,071
0500000US05073,"Lafayette County, Arkansas",60.1,36.4,31.3,5.1,05,073
0500000US05075,"Lawrence County, Arkansas",54.2,36.8,22.9,3.2,05,075
0500000US05077,"Lee County, Arkansas",59.4,43.3,24.5,2.0,05,077
0500000US05079,"Lincoln County, Arkansas",43.3,22.6,23.1,2.4,05,079
0500000US05081,"Little River County, Arkansas",47.2,25.6,26.0,2.4,05,081
0500000US05083,"Logan County, Arkansas",47.3,27.5,23.8,3.9,05,083
0500000US05085,"Lonoke County, Arkansas",37.7,21.9,17.3,4.0,05,085
0500000US05087,"Madison County, Arkansas",49.6,29.8,22.6,2.6,05,087
0500000US05089,"Marion County, Arkansas",57.6,26.3,33.9,5.4,05,089
0500000US05091,"Miller County, Arkansas",49.9,33.1,20.5,2.8,05,091
0500000US05093,"Mississippi County, Arkansas",46.7,32.9,19.2,2.6,05,093
0500000US05095,"Monroe County, Arkansas",55.9,37.8,27.2,2.7,05,095
0500000US05097,"Montgomery County, Arkansas",53.1,29.4,31.3,4.1,05,097
0500000US05099,"Nevada County, Arkansas",62.6,41.9,29.0,2.8,05,099
0500000US05101,"Newton County, Arkansas",55.3,28.5,30.4,4.6,05,101
0500000US05103,"Ouachita County, Arkansas",54.6,33.6,25.5,3.5,05,103
0500000US05105,"Perry County, Arkansas",47.6,27.5,23.8,3.6,05,105
0500000US05107,"Phillips County, Arkansas",62.7,45.8,22.8,2.5,05,107
0500000US05109,"Pike County, Arkansas",47.3,27.6,24.0,4.3,05,109
0500000US05111,"Poinsett County, Arkansas",54.6,38.1,22.6,2.0,05,111
0500000US05113,"Polk County, Arkansas",52.2,31.1,25.1,4.6,05,113
0500000US05115,"Pope County, Arkansas",43.4,27.4,19.8,2.8,05,115
0500000US05117,"Prairie County, Arkansas",47.8,27.6,25.6,4.3,05,117
0500000US05119,"Pulaski County, Arkansas",41.3,24.8,18.6,3.2,05,119
0500000US05121,"Randolph County, Arkansas",58.9,38.3,25.7,4.1,05,121
0500000US05123,"St. Francis County, Arkansas",58.2,42.8,23.1,2.3,05,123
0500000US05125,"Saline County, Arkansas",36.9,18.1,20.6,3.2,05,125
0500000US05127,"Scott County, Arkansas",49.7,31.2,22.8,3.3,05,127
0500000US05129,"Searcy County, Arkansas",59.0,34.4,32.6,3.4,05,129
0500000US05131,"Sebastian County, Arkansas",43.0,25.6,19.9,4.0,05,131
0500000US05133,"Sevier County, Arkansas",47.3,34.2,16.5,1.6,05,133
0500000US05135,"Sharp County, Arkansas",63.3,39.4,31.5,4.7,05,135
0500000US05137,"Stone County, Arkansas",64.7,37.6,34.7,7.4,05,137
0500000US05139,"Union County, Arkansas",48.3,29.0,22.2,3.1,05,139
0500000US05141,"Van Buren County, Arkansas",61.5,36.2,31.4,5.6,05,141
0500000US05143,"Washington County, Arkansas",31.2,19.1,13.7,2.4,05,143
0500000US05145,"White County, Arkansas",44.8,28.6,19.6,2.4,05,145
0500000US05147,"Woodruff County, Arkansas",53.6,33.6,27.8,1.3,05,147
0500000US05149,"Yell County, Arkansas",51.9,34.8,21.4,2.2,05,149
0500000US06001,"Alameda County, California",30.6,18.8,15.0,0.9,06,001
0500000US06003,"Alpine County, California",43.3,26.5,20.9,0.8,06,003
0500000US06005,"Amador County, California",46.9,19.5,30.8,3.8,06,005
0500000US06007,"Butte County, California",47.3,31.0,20.1,2.5,06,007
0500000US06009,"Calaveras County, California",49.7,22.6,29.9,3.4,06,009
0500000US06011,"Colusa County, California",48.0,35.1,15.8,1.5,06,011
0500000US06013,"Contra Costa County, California",33.8,19.3,17.0,1.3,06,013
0500000US06015,"Del Norte County, California",51.8,32.6,25.1,3.8,06,015
0500000US06017,"El Dorado County, California",38.2,16.6,24.0,2.8,06,017
0500000US06019,"Fresno County, California",49.3,39.3,13.8,1.7,06,019
0500000US06021,"Glenn County, California",46.5,32.4,18.4,1.7,06,021
0500000US06023,"Humboldt County, California",53.2,35.6,22.2,3.2,06,023
0500000US06025,"Imperial County, California",57.5,48.8,15.7,1.0,06,025
0500000US06027,"Inyo County, California",47.0,26.5,26.0,2.4,06,027
0500000US06029,"Kern County, California",49.4,39.6,13.5,1.6,06,029
0500000US06031,"Kings County, California",45.9,36.0,12.8,2.2,06,031
0500000US06033,"Lake County, California",61.6,40.4,26.9,4.9,06,033
0500000US06035,"Lassen County, California",45.0,26.0,22.0,3.8,06,035
0500000US06037,"Los Angeles County, California",40.2,29.4,15.2,0.9,06,037
0500000US06039,"Madera County, California",53.8,40.4,16.8,1.9,06,039
0500000US06041,"Marin County, California",35.3,14.7,23.1,0.9,06,041
0500000US06043,"Mariposa County, California",52.0,23.7,31.2,5.1,06,043
0500000US06045,"Mendocino County, California",56.0,35.8,26.0,3.1,06,045
0500000US06047,"Merced County, California",50.7,42.6,13.2,1.3,06,047
0500000US06049,"Modoc County, California",55.0,27.3,32.0,4.2,06,049
0500000US06051,"Mono County, California",33.5,16.9,17.1,1.6,06,051
0500000US06053,"Monterey County, California",44.6,32.3,15.3,1.6,06,053
0500000US06055,"Napa County, California",36.4,18.1,20.8,1.8,06,055
0500000US06057,"Nevada County, California",49.1,22.4,30.2,3.5,06,057
0500000US06059,"Orange County, California",34.2,21.3,16.0,1.0,06,059
0500000US06061,"Placer County, California",33.4,14.8,20.6,2.3,06,061
0500000US06063,"Plumas County, California",54.3,27.6,30.7,4.0,06,063
0500000US06065,"Riverside County, California",42.0,28.5,16.0,2.1,06,065
0500000US06067,"Sacramento County, California",40.9,28.1,16.3,1.8,06,067
0500000US06069,"San Benito County, California",37.1,25.2,14.4,1.4,06,069
0500000US06071,"San Bernardino County, California",43.0,32.5,13.5,1.6,06,071
0500000US06073,"San Diego County, California",34.3,20.0,16.2,2.7,06,073
0500000US06075,"San Francisco County, California",30.7,18.7,17.4,1.0,06,075
0500000US06077,"San Joaquin County, California",42.1,31.6,14.1,1.5,06,077
0500000US06079,"San Luis Obispo County, California",37.6,17.6,22.4,2.3,06,079
0500000US06081,"San Mateo County, California",29.3,15.3,16.8,0.9,06,081
0500000US06083,"Santa Barbara County, California",40.6,26.3,16.9,1.5,06,083
0500000US06085,"Santa Clara County, California",27.1,16.0,14.2,0.8,06,085
0500000US06087,"Santa Cruz County, California",37.3,21.4,19.1,1.5,06,087
0500000US06089,"Shasta County, California",48.5,28.1,24.3,4.1,06,089
0500000US06091,"Sierra County, California",50.0,17.3,39.2,4.4,06,091
0500000US06093,"Siskiyou County, California",56.9,31.2,29.9,4.9,06,093
0500000US06095,"Solano County, California",37.3,21.5,18.2,2.9,06,095
0500000US06097,"Sonoma County, California",38.3,19.7,21.6,1.7,06,097
0500000US06099,"Stanislaus County, California",45.2,33.7,15.1,1.2,06,099
0500000US06101,"Sutter County, California",48.9,35.2,17.7,1.9,06,101
0500000US06103,"Tehama County, California",56.1,39.1,23.0,3.2,06,103
0500000US06105,"Trinity County, California",61.0,37.7,30.4,4.2,06,105
0500000US06107,"Tulare County, California",55.2,45.8,13.1,1.4,06,107
0500000US06109,"Tuolumne County, California",50.8,24.1,31.3,4.2,06,109
0500000US06111,"Ventura County, California",36.6,21.9,17.5,1.5,06,111
0500000US06113,"Yolo County, California",33.1,22.1,13.5,1.2,06,113
0500000US06115,"Yuba County, California",48.7,35.9,16.8,3.1,06,115
0500000US08001,"Adams County, Colorado",33.0,22.6,11.7,1.7,08,001
0500000US08003,"Alamosa County, Colorado",51.5,38.5,17.2,1.9,08,003
0500000US08005,"Arapahoe County, Colorado",30.8,17.6,14.3,2.2,08,005
0500000US08007,"Archuleta County, Colorado",47.4,20.4,28.6,3.8,08,007
0500000US08009,"Baca County, Colorado",58.6,37.9,25.7,2.1,08,009
0500000US08011,"Bent County, Colorado",59.5,42.6,25.4,3.7,08,011
0500000US08013,"Boulder County, Colorado",26.6,12.3,15.4,1.2,08,013
0500000US08014,"Broomfield County, Colorado",23.1,9.5,14.8,1.1,08,014
0500000US08015,"Chaffee County, Colorado",44.8,19.0,27.7,1.3,08,015
0500000US08017,"Cheyenne County, Colorado",40.7,22.9,19.7,2.4,08,017
0500000US08019,"Clear Creek County, Colorado",30.0,8.3,22.3,1.1,08,019
0500000US08021,"Conejos County, Colorado",58.8,39.6,23.5,4.1,08,021
0500000US08023,"Costilla County, Colorado",64.3,37.7,32.8,4.9,08,023
0500000US08025,"Crowley County, Colorado",51.0,36.7,17.9,3.9,08,025
0500000US08027,"Custer County, Colorado",47.7,15.8,32.3,5.6,08,027
0500000US08029,"Delta County, Colorado",54.5,28.6,31.0,5.3,08,029
0500000US08031,"Denver County, Colorado",30.8,20.3,12.9,1.5,08,031
0500000US08033,"Dolores County, Colorado",52.1,19.2,36.2,3.3,08,033
0500000US08035,"Douglas County, Colorado",19.9,6.6,13.3,1.8,08,035
0500000US08037,"Eagle County, Colorado",26.9,13.0,13.7,2.0,08,037
