GEO_ID,NAME,B01001_001E,B25003_001E,B01003_001E,C16001_001E,C16002_013E,C16002_014E,B28011_001E,B28011_008E,B25046_001E,B27010_001E,B27010_002E,B27010_017E,B27010_018E,B27010_033E,B27010_034E,B27010_050E,B27010_051E,B27010_066E,state,county,tract,block group
1500000US150070404011,Block Group 1; Census Tract 404.01; Kauai County; Hawaii,2201,489,2201,,0,0,489,46,1231,2201,397,0,653,13,895,0,256,19,15,007,040401,1
1500000US150070404012,Block Group 2; Census Tract 404.01; Kauai County; Hawaii,2159,592,2159,,0,0,592,0,1264,2074,473,0,327,29,759,74,515,0,15,007,040401,2
1500000US150070404013,Block Group 3; Census Tract 404.01; Kauai County; Hawaii,2827,814,2827,,0,12,814,74,1878,2599,425,0,705,11,1126,23,343,0,15,007,040401,3
1500000US150070404021,Block Group 1; Census Tract 404.02; Kauai County; Hawaii,1387,569,1387,,0,0,569,16,1172,1387,215,0,98,0,349,13,725,0,15,007,040402,1
1500000US150070404022,Block Group 2; Census Tract 404.02; Kauai County; Hawaii,1833,373,1833,,0,0,373,16,1062,1833,523,108,441,0,575,6,294,0,15,007,040402,2
1500000US150070405001,Block Group 1; Census Tract 405; Kauai County; Hawaii,1462,456,1462,,0,0,456,0,998,1462,468,0,202,39,449,0,343,0,15,007,040500,1
1500000US150070405002,Block Group 2; Census Tract 405; Kauai County; Hawaii,1345,613,1345,,0,0,613,49,1008,1345,115,0,386,33,503,0,341,0,15,007,040500,2
1500000US150070405003,Block Group 3; Census Tract 405; Kauai County; Hawaii,1800,513,1800,,0,0,513,74,1416,1779,467,0,180,22,698,55,434,0,15,007,040500,3
1500000US150070405004,Block Group 4; Census Tract 405; Kauai County; Hawaii,1910,563,1910,,0,0,563,12,1024,1824,605,27,186,11,922,0,111,0,15,007,040500,4
1500000US150070406031,Block Group 1; Census Tract 406.03; Kauai County; Hawaii,509,275,509,,0,0,275,3,338,509,32,0,68,3,166,29,243,0,15,007,040603,1
1500000US150070406032,Block Group 2; Census Tract 406.03; Kauai County; Hawaii,2694,750,2694,,0,14,750,43,1598,2652,873,0,399,19,888,77,492,0,15,007,040603,2
1500000US150070406041,Block Group 1; Census Tract 406.04; Kauai County; Hawaii,2027,704,2027,,0,10,704,24,1447,1939,404,14,402,17,610,11,523,0,15,007,040604,1
1500000US150070406042,Block Group 2; Census Tract 406.04; Kauai County; Hawaii,1455,570,1455,,0,46,570,26,914,1455,330,22,232,25,572,45,321,0,15,007,040604,2
1500000US150070407011,Block Group 1; Census Tract 407.01; Kauai County; Hawaii,1471,414,1471,,0,28,414,1,1000,1460,407,0,317,11,554,7,182,0,15,007,040701,1
1500000US150070407012,Block Group 2; Census Tract 407.01; Kauai County; Hawaii,1613,535,1613,,0,57,535,23,1216,1613,389,0,278,0,584,4,362,0,15,007,040701,2
1500000US150070407021,Block Group 1; Census Tract 407.02; Kauai County; Hawaii,2225,879,2225,,0,0,879,0,2238,2225,630,0,196,34,666,9,733,0,15,007,040702,1
1500000US150070407022,Block Group 2; Census Tract 407.02; Kauai County; Hawaii,391,190,391,,0,0,190,34,,391,19,0,159,29,150,0,63,0,15,007,040702,2
1500000US150070407023,Block Group 3; Census Tract 407.02; Kauai County; Hawaii,2339,634,2339,,0,41,634,44,1753,2332,591,0,495,21,927,6,319,13,15,007,040702,3
