AIANNHH,NAME,B01001_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,B28002_013E,B09019_005E,B09019_008E,B19101_001E,B20005_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_020E,B01001_021E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E
4940,"San Felipe Pueblo/Santo Domingo Pueblo joint-use area, NM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5003,"Anahola (Agricultural) Hawaiian Home Land, HI",296,30,10,0,0,0,0,0,2,23,54,70,33,5,22,0,0,6,4,5,0,1,50,0,0,3,88,0,155
5004,"Anahola (Residential) Hawaiian Home Land, HI",2285,57,125,62,105,6,17,57,34,50,497,849,68,89,76,35,54,16,72,120,36,52,170,0,0,115,1317,3,680
5008,"East Kapolei Hawaiian Home Land, HI",747,0,0,0,0,0,0,2,2,0,125,266,3,45,38,24,0,0,34,31,17,2,1,0,0,97,243,0,406
5009,"Haiku Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5011,"Hanapepe Hawaiian Home Land, HI",42,0,0,0,0,0,1,0,0,0,4,26,0,0,0,4,0,0,0,0,4,0,0,0,0,42,0,0,0
5018,"Homuula-Upper Piihonua Hawaiian Home Land, HI",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5026,"Honokaia Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5029,"Honokowai Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5030,"Honolulu Makai Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5031,"Honomu Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5033,"Hoolehua-Palaau Hawaiian Home Land, HI",1436,31,104,47,28,23,24,91,33,42,329,549,56,56,66,43,28,21,23,46,18,20,48,0,4,17,1030,8,329
5041,"Kahikinui Hawaiian Home Land, HI",2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
5043,"Kakaina-Kumuhau Hawaiian Home Land, HI",287,0,0,0,0,0,0,0,10,48,54,78,1,18,10,3,0,2,8,9,0,0,3,0,0,5,107,0,172
5044,"Kalaeloa Hawaiian Home Land, HI",8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,2
5046,"Kalamaula Hawaiian Home Land, HI",478,2,25,18,2,4,26,10,5,23,101,173,11,11,11,3,16,2,10,9,28,10,8,0,0,49,242,0,179
5048,"Kalaoa Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5051,"Kalaupapa Hawaiian Home Land, HI",50,2,1,5,19,5,46,3,21,4,3,34,0,0,0,0,1,0,2,4,2,1,19,1,9,6,6,0,9
5053,"Kalawahine Hawaiian Home Land, HI",356,3,5,0,1,0,0,2,5,6,88,165,5,5,8,5,11,6,5,18,2,16,32,0,0,14,107,2,201
5056,"Kamaoa-Puueo Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5061,"Kamiloloa-Makakupaia Hawaiian Home Land, HI",51,9,14,3,3,16,0,1,11,5,17,26,0,0,0,0,0,0,0,5,0,2,2,0,0,6,22,0,21
5066,"Kamoku-Kapulena Hawaiian Home Land, HI",24,2,2,1,4,0,0,2,2,2,8,12,0,0,2,2,1,1,1,1,0,0,2,0,0,0,14,0,8
5067,"Kanehili Hawaiian Home Land, HI",2173,0,0,0,0,0,0,42,5,18,523,831,170,75,103,46,8,21,6,48,38,48,80,0,0,67,1005,23,998
5069,"Kaohe-Olaa Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5071,"Kapaa Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5076,"Kapaakea Hawaiian Home Land, HI",118,6,15,3,17,3,0,6,2,11,28,48,6,4,3,5,2,1,5,2,0,0,5,0,0,0,95,0,18
5083,"Kapolei Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5086,"Kaumana Hawaiian Home Land, HI",174,0,0,0,0,0,0,3,7,6,53,72,2,9,13,1,1,1,6,8,1,0,5,0,0,12,55,0,102
5088,"Kaupea Hawaiian Home Land, HI",1482,2,0,4,3,0,0,9,10,10,347,524,56,50,62,22,8,17,68,42,12,7,44,15,0,89,625,0,709
5091,"Kawaihae Hawaiian Home Land, HI",753,14,0,3,0,0,1,6,15,13,170,262,69,42,18,9,7,2,7,29,8,12,30,2,0,24,347,2,348
5098,"Keahuolu Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5101,"Kealakehe Hawaiian Home Land, HI",1533,12,2,4,0,0,0,66,17,36,377,535,70,51,28,22,10,16,32,36,23,47,54,0,1,30,861,7,580
5104,"Keanae-Wailuanui Hawaiian Home Land, HI",4,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
5106,"Keaukaha Hawaiian Home Land, HI",1955,83,158,13,37,20,15,43,44,38,391,673,105,69,68,45,31,20,47,32,19,41,68,6,0,43,825,6,1007
5111,"Kekaha Hawaiian Home Land, HI",486,0,28,15,3,0,0,7,10,0,94,198,11,21,26,11,0,11,31,23,16,12,11,0,2,12,231,0,230
5114,"Keokea (Agricultural) Hawaiian Home Land, HI",215,3,5,0,0,0,1,0,0,0,27,66,2,2,3,2,3,2,0,2,0,0,15,0,0,10,50,4,136
5116,"Keoniki Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5120,"Kewalo Hawaiian Home Land, HI",280,1,9,10,2,4,0,1,0,0,52,115,8,3,25,0,5,2,13,2,2,7,6,2,0,8,154,0,110
5133,"Lalamilo Hawaiian Home Land, HI",79,0,0,0,0,0,0,6,0,4,27,32,0,1,4,0,0,0,3,0,5,4,3,0,0,3,34,0,39
5134,"Lanai City Hawaiian Home Land, HI",144,0,0,0,0,0,0,0,2,0,47,51,0,5,0,0,0,0,0,36,0,3,42,0,0,7,51,0,44
5135,"Leialii Hawaiian Home Land, HI",443,2,0,4,1,4,0,4,7,2,87,169,18,34,24,16,3,1,18,6,7,12,42,0,0,40,115,3,243
5136,"Lualualei Hawaiian Home Land, HI",52,3,0,0,0,0,1,2,0,0,11,28,0,1,2,4,11,7,0,0,0,0,0,0,0,9,31,0,12
5138,"Maili Hawaiian Home Land, HI",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,2,0,0
5139,"Makaha Valley Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5146,"Makuu Hawaiian Home Land, HI",125,5,12,0,0,0,0,2,6,3,26,53,13,7,3,2,0,6,0,0,0,3,4,0,0,10,68,5,38
5148,"Maluohai Hawaiian Home Land, HI",1280,0,5,5,0,0,0,12,10,14,261,500,35,54,37,40,11,8,36,68,8,1,16,8,0,103,627,3,523
5156,"Moloaa Hawaiian Home Land, HI",41,0,0,0,0,0,0,0,0,0,2,20,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,29
5161,"Nanakuli Hawaiian Home Land, HI",5557,139,391,166,67,12,15,108,56,38,1199,2155,230,240,126,145,35,78,142,178,53,115,149,14,0,227,3133,13,2021
5166,"Nienie Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5176,"Panaewa (Agricultural) Hawaiian Home Land, HI",886,47,16,6,2,0,0,22,23,25,162,326,18,48,28,14,4,12,17,11,14,24,43,9,4,66,353,1,410
5177,"Panaewa (Residential) Hawaiian Home Land, HI",1500,13,116,34,37,12,4,53,16,48,343,620,10,60,98,47,8,53,25,51,8,38,29,0,0,57,852,2,560
5179,"Papakolea Hawaiian Home Land, HI",1284,32,89,54,34,47,6,32,46,13,261,504,48,46,40,19,2,17,26,57,11,14,28,0,0,67,673,0,516
5181,"Pauahi Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5186,"Paukukalo Hawaiian Home Land, HI",975,54,33,40,4,2,0,18,18,11,153,369,26,31,13,23,4,9,46,20,10,17,32,1,1,46,409,0,486
5193,"Piihonua Hawaiian Home Land, HI",81,0,0,0,0,0,0,0,1,0,18,33,2,4,0,2,1,2,1,1,1,3,2,0,0,3,13,0,63
5196,"Ponohawaii Hawaiian Home Land, HI",24,0,2,0,0,0,0,0,0,0,4,12,4,0,0,0,0,2,0,2,2,0,3,0,0,5,0,0,16
5198,"Princess Kahanu Estates Hawaiian Home Land, HI",1304,19,10,8,6,0,2,22,10,17,267,503,73,50,65,33,7,14,30,43,26,24,34,3,3,57,662,0,545
5199,"Pulehunui Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5201,"Puukapu Hawaiian Home Land, HI",888,13,48,3,30,10,0,67,5,15,228,311,24,23,36,13,4,11,21,24,9,3,41,3,0,30,550,0,264
5213,"South Maui Hawaiian Home Land, HI",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5216,"Ualapue Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5222,"Upolu Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5223,"Waiahole Hawaiian Home Land, HI",53,0,0,0,0,0,0,0,0,0,13,20,0,0,0,0,2,0,8,2,0,2,2,0,0,2,25,0,24
5236,"Waiakea Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5238,"Waianae Hawaiian Home Land, HI",2477,141,159,4,3,11,0,12,15,19,444,903,130,80,130,55,29,25,67,69,10,16,67,0,2,106,1418,7,877
5239,"Waianae Kai Hawaiian Home Land, HI",621,64,2,1,2,0,0,13,15,9,124,233,20,19,20,23,6,3,26,32,12,20,14,2,0,5,343,0,257
5240,"Waiawa Hawaiian Home Land, HI",2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5241,"Waiehu Hawaiian Home Land, HI",1548,20,1,0,3,0,0,12,20,31,309,561,81,83,35,28,10,32,37,47,17,18,47,0,2,98,726,10,665
5248,"Waiku-Hana Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5251,"Wailau Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5256,"Wailua Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5271,"Waimanalo Hawaiian Home Land, HI",3308,51,147,128,91,21,19,131,40,62,661,1293,90,99,158,72,47,73,128,110,27,49,93,0,3,88,1529,7,1588
5276,"Waimanu Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5281,"Waimea Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5283,"Waiohinu Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5286,"Waiohuli (Residential) Hawaiian Home Land, HI",1789,4,8,0,8,0,0,16,6,17,351,603,84,47,161,43,8,11,28,49,17,35,173,0,1,53,814,1,747
5540,"Caddo-Wichita-Delaware OTSA, OK",15503,1068,1505,1055,519,282,730,943,808,859,3510,7376,419,479,477,296,175,295,571,542,239,341,11565,360,1298,8,0,783,1489
5550,"Cherokee OTSA, OK",512883,31759,38527,22787,25389,11012,13258,31083,24396,28298,130726,199020,15881,17108,19319,11725,5752,8356,15880,16466,6523,10105,310901,28525,86610,7018,592,17302,61935
5560,"Cheyenne and Arapaho OTSA, OK",189756,11470,15019,7725,6521,3954,6951,6367,8476,9417,48441,75032,5489,6600,6762,3912,1938,2747,5487,5727,2494,3565,149369,6310,7116,2050,234,6684,17993
5580,"Chickasaw OTSA, OK",309367,20097,26889,14030,14163,8058,9560,18457,15114,17112,80168,119988,9762,9679,12166,6630,3585,4834,9144,9535,4366,6067,233890,7882,23047,1834,236,6904,35574
5590,"Choctaw OTSA, OK",226971,16677,21364,10462,7515,4258,6752,17516,11632,13051,57475,89679,7093,7394,8307,4862,2730,3228,6842,7386,2692,4388,155710,7198,27749,1685,604,3837,30188
5600,"Citizen Potawatomi Nation-Absentee Shawnee OTSA, OK",125977,8812,7575,3940,2928,1197,1548,4670,4727,4559,33502,50442,3207,4081,5234,3030,1526,2456,4556,4338,1675,2679,96124,6302,8771,1271,60,1616,11833
5620,"Creek OTSA, OK",817734,53080,70782,38133,34010,15070,25109,30402,42780,53606,203637,314203,26964,27761,28703,16375,8463,11864,24092,24393,10129,14181,559000,57433,60493,25306,669,19764,95069
5640,"Eastern Shawnee OTSA, OK",769,74,56,20,18,11,34,41,27,60,206,291,26,31,22,9,19,14,24,30,2,19,529,7,164,2,0,8,59
5670,"Iowa OTSA, OK",7233,380,400,140,266,60,286,410,427,573,1774,2865,265,266,195,148,207,140,251,288,85,139,6239,125,466,3,0,90,310
5690,"Kaw OTSA, OK",5281,314,492,223,207,151,530,358,305,237,1375,2291,140,117,178,115,105,94,226,228,71,141,4308,13,487,19,0,80,374
5700,"Kickapoo OTSA, OK",26346,1757,1793,543,504,389,725,1603,1297,1123,6231,10568,972,823,845,413,514,452,837,957,375,471,20393,1045,2479,94,46,255,2034
5720,"Kiowa-Comanche-Apache-Fort Sill Apache OTSA, OK",188468,10409,15836,12553,10878,5883,6842,7892,10983,10455,44859,76991,6160,6732,5991,3733,1671,2387,5414,5748,2172,3422,122846,22042,8675,3462,582,7495,23366
5730,"Miami OTSA, OK",221,7,18,16,9,1,6,9,6,4,64,87,4,8,10,9,0,5,15,9,3,7,109,3,66,7,0,5,31
5740,"Modoc OTSA, OK",356,22,9,1,5,0,6,17,10,13,93,140,13,21,21,1,2,12,7,11,1,11,184,2,87,0,0,5,78
5760,"Otoe-Missouria OTSA, OK",1030,57,74,44,19,12,64,124,52,66,284,413,36,22,37,19,102,16,42,28,16,11,477,5,350,5,2,19,172
5770,"Ottawa OTSA, OK",5515,199,377,190,320,361,634,400,302,423,1161,2352,165,163,162,109,38,70,165,147,53,104,3524,176,1028,45,79,117,546
5780,"Pawnee OTSA, OK",15417,966,1688,751,569,365,955,1282,671,775,4181,6088,514,468,610,353,208,274,515,477,190,406,11806,84,1465,52,2,190,1818
5795,"Peoria OTSA, OK",4975,311,435,261,325,143,105,278,218,323,1281,1793,193,182,197,104,65,103,186,165,83,72,3352,50,892,30,49,78,524
5800,"Ponca OTSA, OK",2114,77,224,79,113,84,149,209,107,71,497,870,57,79,110,67,51,38,91,90,32,29,1204,0,570,2,0,103,235
5810,"Quapaw OTSA, OK",4908,273,375,290,318,179,243,439,237,284,1232,1775,183,200,212,150,37,77,138,114,41,88,2847,22,1100,33,12,345,549
5820,"Sac and Fox OTSA, OK",59037,2874,5034,2428,2801,1748,4079,3267,2991,3562,15291,23026,1730,2023,2068,1136,597,1041,1555,1846,1000,997,45100,1973,5852,357,62,636,5057
5830,"Seminole OTSA, OK",21209,1443,1842,892,779,878,1411,1860,1260,922,5235,8124,630,733,811,452,221,340,674,650,325,418,13911,889,4276,51,9,161,1912
5835,"Seneca-Cayuga OTSA, OK",4382,597,618,279,116,71,58,341,291,444,1166,1767,57,139,130,64,101,106,144,131,60,140,3372,5,582,2,22,26,373
5860,"Tonkawa OTSA, OK",3835,168,272,160,317,204,489,274,272,346,820,1547,109,141,132,79,45,46,148,95,41,77,2827,25,456,19,0,114,394
5890,"Wyandotte OTSA, OK",1901,164,152,55,50,28,82,150,102,138,465,734,52,72,76,40,31,50,42,34,24,37,1214,3,437,20,0,50,177
5915,"Creek/Seminole joint-use OTSA, OK",2383,136,184,154,79,106,146,192,166,130,514,913,109,73,79,58,68,27,39,82,35,40,1547,114,547,3,0,14,158
5950,"Kaw/Ponca joint-use OTSA, OK",26292,1619,2075,1829,2825,1189,1452,1509,1418,1585,6289,9921,866,905,919,524,278,300,701,797,280,436,19302,784,2110,230,16,706,3144
5955,"Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA, OK",9738,525,879,689,390,463,772,669,535,549,2121,4122,339,325,454,154,51,170,253,266,131,161,4298,609,2910,31,0,349,1541
5970,"Miami/Peoria joint-use OTSA, OK",4140,159,340,307,453,393,130,376,222,284,989,1465,229,173,145,47,33,51,88,109,58,70,2671,70,756,38,49,142,414
6015,"Akhiok ANVSA, AK",98,7,13,14,0,0,0,0,0,0,17,60,3,1,0,0,0,0,0,37,0,0,0,0,89,0,0,0,9
6020,"Akiachak ANVSA, AK",415,33,33,7,0,0,4,16,19,3,70,119,31,26,10,0,0,12,16,10,0,3,0,0,388,0,3,0,24
6025,"Akiak ANVSA, AK",298,32,6,3,1,0,0,14,9,2,53,105,15,13,26,17,3,2,10,6,3,3,5,0,293,0,0,0,0
6030,"Akutan ANVSA, AK",911,33,5,2,0,6,0,19,16,0,39,681,12,2,0,0,10,14,51,25,42,11,236,149,135,156,0,158,77
6035,"Alakanuk ANVSA, AK",1138,38,87,8,0,0,0,49,5,0,235,412,109,26,71,59,4,12,19,46,10,6,0,0,1093,0,2,0,43
6040,"Alatna ANVSA, AK",36,4,0,0,0,0,0,14,0,2,8,15,0,0,0,0,4,0,0,0,0,0,0,0,36,0,0,0,0
6045,"Aleknagik ANVSA, AK",121,21,20,4,3,2,0,11,6,0,30,46,1,7,2,2,4,2,1,10,0,3,4,0,79,0,0,0,38
6065,"Algaaciq ANVSA, AK",772,41,72,4,12,0,0,34,35,11,159,260,36,36,61,21,4,8,22,28,3,10,16,0,718,0,10,0,28
6070,"Allakaket ANVSA, AK",220,24,17,0,0,0,0,33,15,0,41,94,15,30,8,4,0,0,3,7,0,8,52,0,165,0,0,0,3
6075,"Ambler ANVSA, AK",277,21,41,0,0,0,0,32,10,11,61,88,9,22,8,2,0,13,5,6,5,2,44,0,229,0,0,0,4
6080,"Anaktuvuk Pass ANVSA, AK",222,27,32,1,4,0,0,13,6,3,58,87,25,15,4,16,6,1,1,5,0,3,7,0,176,0,0,0,39
6095,"Andreafsky ANVSA, AK",220,12,38,2,0,0,0,21,3,3,47,81,7,3,8,6,0,0,5,6,4,3,0,0,196,0,0,0,24
6100,"Angoon ANVSA, AK",419,73,91,11,10,2,30,67,25,24,109,183,13,7,8,0,5,24,15,8,8,20,46,0,293,0,0,0,80
6105,"Aniak ANVSA, AK",551,100,37,3,2,1,0,31,21,13,109,264,23,9,35,21,9,4,11,14,26,2,139,15,363,15,0,0,19
6125,"Anvik ANVSA, AK",74,22,9,9,1,0,0,9,6,2,19,30,5,3,0,1,0,0,0,4,2,2,1,0,73,0,0,0,0
6140,"Arctic Village ANVSA, AK",199,22,3,6,8,10,0,51,13,3,44,65,6,18,13,7,0,0,3,4,2,4,3,0,196,0,0,0,0
6150,"Atka ANVSA, AK",28,9,3,1,0,0,0,2,0,0,6,7,3,2,2,0,0,0,0,1,0,1,0,0,28,0,0,0,0
6160,"Atmautluak ANVSA, AK",34,1,8,3,0,0,0,0,0,0,6,13,0,0,5,0,0,0,0,2,0,0,0,0,34,0,0,0,0
6165,"Atqasuk ANVSA, AK",119,12,7,0,0,0,0,3,0,0,33,40,8,8,7,0,0,0,4,3,0,0,2,0,117,0,0,0,0
6175,"Barrow ANVSA, AK",4876,493,405,92,44,0,147,544,180,169,1078,1851,150,276,226,81,0,85,125,214,83,60,400,89,3158,489,147,51,542
6190,"Beaver ANVSA, AK",87,6,17,2,3,2,2,34,24,0,14,46,0,4,0,0,4,11,4,4,0,2,0,0,87,0,0,0,0
6195,"Belkofski ANVSA, AK",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6205,"Bethel ANVSA, AK",6312,596,521,121,0,11,0,149,348,176,1268,2514,329,311,216,150,85,57,165,166,49,144,1032,185,4279,236,34,80,466
6225,"Bill Moore's ANVSA, AK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6235,"Birch Creek ANVSA, AK",3,3,6,2,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
6240,"Brevig Mission ANVSA, AK",625,39,22,2,0,3,0,26,10,2,115,179,43,51,22,9,8,11,0,29,11,5,15,0,585,0,0,0,25
6250,"Buckland ANVSA, AK",644,50,46,7,0,0,0,16,12,1,118,226,42,45,43,28,1,8,14,12,3,7,14,0,630,0,0,0,0
6255,"Cantwell ANVSA, AK",117,37,39,9,26,8,5,21,50,17,16,72,0,0,3,1,4,7,10,9,0,2,92,0,16,0,0,0,9
6257,"Canyon Village ANVSA, AK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6265,"Chalkyitsik ANVSA, AK",95,25,4,1,0,3,0,21,18,0,13,49,7,10,0,0,0,0,6,8,0,0,21,0,74,0,0,0,0
6275,"Chefornak ANVSA, AK",476,39,23,20,0,0,0,20,3,0,87,165,27,42,30,23,6,0,7,7,12,6,0,0,460,0,0,0,16
6280,"Chenega ANVSA, AK",58,24,7,0,0,0,2,6,7,0,13,27,2,4,0,0,3,0,0,0,0,0,17,0,24,0,0,0,17
6285,"Chevak ANVSA, AK",432,25,33,7,0,0,0,5,5,6,49,238,15,36,25,11,7,6,93,9,0,53,123,0,298,0,0,0,11
6290,"Chickaloon ANVSA, AK",26340,2414,1307,328,401,123,133,472,1049,1068,6739,10700,894,861,1063,625,363,421,872,983,373,455,20657,301,1860,371,155,426,2570
6295,"Chignik ANVSA, AK",54,29,18,11,4,2,5,1,4,0,17,20,3,0,2,0,1,0,0,10,0,0,7,0,19,16,0,0,12
6300,"Chignik Lagoon ANVSA, AK",39,33,18,13,2,1,0,0,0,0,12,14,0,0,0,0,0,5,0,2,0,0,6,0,26,0,0,0,7
6305,"Chignik Lake ANVSA, AK",30,19,7,2,0,2,2,4,0,2,9,12,2,1,1,1,0,3,2,0,0,0,1,0,22,0,0,0,7
6310,"Chilkat ANVSA, AK",67,16,18,5,1,1,2,7,12,1,15,34,0,1,3,4,4,1,4,4,2,0,10,0,37,0,0,0,20
6315,"Chilkoot ANVSA, AK",757,65,58,12,4,1,21,52,28,53,149,226,9,18,100,105,11,5,29,27,10,14,541,0,57,28,0,0,131
6325,"Chistochina ANVSA, AK",45,9,2,7,0,0,6,8,0,11,5,11,0,0,0,0,0,0,8,0,0,0,6,0,39,0,0,0,0
6330,"Chitina ANVSA, AK",71,15,26,4,6,2,10,14,26,4,15,39,7,0,0,0,4,3,0,2,7,4,33,0,11,0,0,0,27
6335,"Chuathbaluk ANVSA, AK",92,28,7,0,0,1,0,8,3,0,21,33,2,8,5,3,0,0,0,5,7,10,2,0,88,0,0,0,2
6340,"Chuloonawick ANVSA, AK",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6350,"Circle ANVSA, AK",45,9,9,0,2,0,1,24,8,13,8,8,0,4,3,0,0,0,3,0,0,0,0,0,37,0,0,0,8
6360,"Clarks Point ANVSA, AK",31,14,10,3,4,4,0,2,1,4,4,6,2,3,0,0,1,2,1,0,0,0,1,0,30,0,0,0,0
6365,"Copper Center ANVSA, AK",435,82,46,10,1,2,7,15,16,17,113,200,5,20,18,4,4,15,5,49,10,7,196,1,185,1,0,0,52
6380,"Council ANVSA, AK",0,15,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6385,"Craig ANVSA, AK",1280,204,191,51,9,8,19,99,138,86,318,577,29,26,31,33,18,52,45,36,26,31,764,7,198,27,0,18,266
6390,"Crooked Creek ANVSA, AK",28,6,2,0,0,1,0,8,2,0,9,14,0,5,0,0,0,0,4,0,0,1,0,0,24,0,0,0,4
6400,"Deering ANVSA, AK",189,11,23,4,0,0,5,10,3,5,37,62,13,10,10,6,0,2,2,2,0,0,1,0,183,1,0,0,4
6405,"Dillingham ANVSA, AK",2285,352,268,38,16,17,23,84,105,60,512,814,90,113,87,47,8,19,52,99,16,41,617,12,1278,60,3,2,313
6415,"Dot Lake ANVSA, AK",0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6420,"Douglas ANVSA, AK",6492,956,577,223,227,55,145,95,424,461,1619,2781,173,217,166,81,74,122,205,198,57,159,4200,95,820,297,50,83,947
6430,"Eagle ANVSA, AK",68,16,6,0,5,0,0,20,12,2,12,41,3,7,5,0,0,12,0,0,12,5,14,0,27,0,0,0,27
6440,"Eek ANVSA, AK",475,15,24,0,0,2,0,27,8,7,91,169,12,32,41,6,0,0,27,7,6,18,0,0,462,0,0,0,13
6445,"Egegik ANVSA, AK",46,128,30,8,1,7,0,5,3,2,5,37,0,0,0,0,0,0,9,2,0,7,20,0,4,8,0,0,14
6450,"Eklutna ANVSA, AK",73,10,5,1,1,0,1,10,1,2,13,27,14,1,0,2,3,0,2,6,1,0,9,0,36,0,0,0,28
6455,"Ekuk ANVSA, AK",0,20,10,4,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6460,"Ekwok ANVSA, AK",51,11,3,2,2,0,0,6,2,3,13,16,3,0,6,2,0,0,0,2,5,1,1,0,46,0,0,0,4
6470,"Elim ANVSA, AK",293,22,36,10,0,0,1,12,17,0,51,106,13,26,32,13,1,1,5,6,2,4,5,0,285,0,0,0,3
6480,"Emmonak ANVSA, AK",1293,35,84,24,0,5,0,86,40,52,241,485,92,108,26,25,0,23,37,41,11,10,8,68,1068,0,0,0,149
6490,"Evansville ANVSA, AK",27,13,6,2,0,0,7,13,13,3,2,20,0,0,0,0,0,3,3,1,0,0,18,0,7,0,0,0,2
6495,"Eyak ANVSA, AK",262,21,81,7,3,0,0,4,14,2,100,122,5,13,4,0,10,9,2,0,11,7,170,0,4,14,14,13,47
