AIANNHH,NAME,B01001_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,B28002_013E,B09019_005E,B09019_008E,B19101_001E,B20005_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_020E,B01001_021E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E
1100,"Flandreau Reservation, SD",529,55,35,4,2,0,5,42,43,31,100,169,16,23,36,39,2,10,15,27,4,15,52,36,399,0,2,1,39
1110,"Flathead Reservation, MT",31690,2202,2753,1264,886,592,1592,1924,1562,1674,7935,12406,916,925,1308,675,498,647,895,1000,377,752,19909,74,7760,186,53,383,3325
1125,"Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI",4098,206,280,112,162,41,180,243,198,150,1030,1577,145,147,149,92,35,81,113,127,79,85,2058,11,1473,15,8,10,523
1135,"Forest County Potawatomi Community and Off-Reservation Trust Land, WI",593,23,20,5,3,5,5,18,3,33,124,149,64,37,24,4,0,6,10,18,11,7,74,0,419,0,0,20,80
1140,"Fort Apache Reservation, AZ",14620,1219,831,467,20,37,31,2084,366,194,3121,4832,566,792,867,439,39,127,264,485,94,266,478,40,13538,13,101,37,413
1150,"Fort Belknap Reservation and Off-Reservation Trust Land, MT",3377,191,339,91,48,0,40,201,94,93,619,1157,126,203,148,121,47,17,55,84,38,52,92,31,3160,0,0,0,94
1160,"Fort Berthold Reservation, ND",7483,481,695,334,158,109,261,312,492,324,1568,2678,518,286,320,154,60,139,180,293,55,106,1979,156,4799,58,14,161,316
1170,"Fort Bidwell Reservation and Off-Reservation Trust Land, CA",106,11,26,3,3,0,3,13,5,6,17,54,9,2,3,0,0,0,8,1,0,1,16,0,86,0,0,2,2
1185,"Fort Hall Reservation and Off-Reservation Trust Land, ID",5077,197,583,161,129,31,209,450,371,204,1111,2027,144,261,172,218,67,134,151,140,69,82,1741,3,2963,0,7,90,273
1195,"Fort Independence Reservation, CA",129,12,4,6,0,0,4,2,11,2,17,56,4,11,2,4,0,4,5,4,2,5,51,0,44,2,4,0,28
1210,"Fort McDermitt Indian Reservation, NV--OR",254,15,54,5,9,0,6,60,15,32,75,59,12,13,7,1,2,3,2,10,1,3,5,0,227,0,2,0,20
1220,"Fort McDowell Yavapai Nation Reservation, AZ",1006,33,15,31,5,0,2,36,49,23,191,398,15,49,56,49,1,6,53,21,6,8,112,3,769,13,0,9,100
1235,"Fort Mojave Reservation and Off-Reservation Trust Land, AZ--CA--NV",1572,97,66,12,0,0,3,57,78,65,433,648,29,57,41,38,24,55,13,56,20,31,752,16,580,18,6,75,125
1250,"Fort Peck Indian Reservation and Off-Reservation Trust Land, MT",10126,648,755,484,496,231,580,987,504,523,1667,3437,567,496,522,286,98,115,200,283,126,149,2773,32,6503,78,1,30,709
1260,"Fort Pierce Reservation, FL",7,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,2
